Angle,RT60,Mu_Inv,Zeta,SI_SDR_Imp
40,0.0,1.0,0.01,-11.43
40,0.0,1.2,1e-06,-12.142
40,0.0,1.2,1e-05,-12.141
40,0.0,1.2,0.0001,-12.134
40,0.0,1.2,0.001,-12.08
40,0.0,1.2,0.01,-11.904
40,0.2,0.0,1e-06,4.944
40,0.2,0.0,1e-05,4.945
40,0.2,0.0,0.0001,4.958
40,0.2,0.0,0.001,5.079
40,0.2,0.0,0.01,5.821
40,0.2,0.2,1e-06,-7.581
40,0.2,0.2,1e-05,-7.58
40,0.2,0.2,0.0001,-7.577
40,0.2,0.2,0.001,-7.544
40,0.2,0.2,0.01,-7.407
40,0.2,0.5,1e-06,-9.879
40,0.2,0.5,1e-05,-9.879
40,0.2,0.5,0.0001,-9.875
40,0.2,0.5,0.001,-9.843
40,0.2,0.5,0.01,-9.717
40,0.2,0.8,1e-06,-11.087
40,0.2,0.8,1e-05,-11.087
40,0.2,0.8,0.0001,-11.083
40,0.2,0.8,0.001,-11.052
40,0.2,0.8,0.01,-10.935
40,0.2,1.0,1e-06,-11.672
40,0.2,1.0,1e-05,-11.671
40,0.2,1.0,0.0001,-11.668
40,0.2,1.0,0.001,-11.638
40,0.2,1.0,0.01,-11.524
40,0.2,1.2,1e-06,-12.156
40,0.2,1.2,1e-05,-12.155
40,0.2,1.2,0.0001,-12.152
40,0.2,1.2,0.001,-12.122
40,0.2,1.2,0.01,-12.013
40,0.4,0.0,1e-06,2.689
40,0.4,0.0,1e-05,2.692
40,0.4,0.0,0.0001,2.724
40,0.4,0.0,0.001,3.001
40,0.4,0.0,0.01,4.322
40,0.4,0.2,1e-06,-7.808
40,0.4,0.2,1e-05,-7.807
40,0.4,0.2,0.0001,-7.798
40,0.4,0.2,0.001,-7.716
40,0.4,0.2,0.01,-7.426
40,0.4,0.5,1e-06,-9.843
40,0.4,0.5,1e-05,-9.842
40,0.4,0.5,0.0001,-9.834
40,0.4,0.5,0.001,-9.763
40,0.4,0.5,0.01,-9.529
40,0.4,0.8,1e-06,-10.976
40,0.4,0.8,1e-05,-10.975
40,0.4,0.8,0.0001,-10.967
40,0.4,0.8,0.001,-10.902
40,0.4,0.8,0.01,-10.696
40,0.4,1.0,1e-06,-11.539
40,0.4,1.0,1e-05,-11.538
40,0.4,1.0,0.0001,-11.53
40,0.4,1.0,0.001,-11.468
40,0.4,1.0,0.01,-11.276
40,0.4,1.2,1e-06,-12.012
40,0.4,1.2,1e-05,-12.011
40,0.4,1.2,0.0001,-12.004
40,0.4,1.2,0.001,-11.944
40,0.4,1.2,0.01,-11.763
40,0.6,0.0,1e-06,1.144
40,0.6,0.0,1e-05,1.145
40,0.6,0.0,0.0001,1.159
40,0.6,0.0,0.001,1.284
40,0.6,0.0,0.01,1.99
40,0.6,0.2,1e-06,-9.646
40,0.6,0.2,1e-05,-9.645
40,0.6,0.2,0.0001,-9.64
40,0.6,0.2,0.001,-9.591
40,0.6,0.2,0.01,-9.352
40,0.6,0.5,1e-06,-11.639
40,0.6,0.5,1e-05,-11.638
40,0.6,0.5,0.0001,-11.633
40,0.6,0.5,0.001,-11.59
40,0.6,0.5,0.01,-11.384
40,0.6,0.8,1e-06,-12.711
40,0.6,0.8,1e-05,-12.71
40,0.6,0.8,0.0001,-12.706
40,0.6,0.8,0.001,-12.666
40,0.6,0.8,0.01,-12.478
40,0.6,1.0,1e-06,-13.235
40,0.6,1.0,1e-05,-13.234
40,0.6,1.0,0.0001,-13.23
40,0.6,1.0,0.001,-13.192
40,0.6,1.0,0.01,-13.013
40,0.6,1.2,1e-06,-13.672
40,0.6,1.2,1e-05,-13.671
40,0.6,1.2,0.0001,-13.667
40,0.6,1.2,0.001,-13.63
